sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
113,61.0,Commerce,61.0,Comm&Mgmt,58.0,Mkt&HR,53.94,250000.0,False,True
114,79.0,Commerce,67.0,Comm&Mgmt,72.15,Mkt&Fin,63.08,280000.0,True,False
115,68.0,Science,69.0,Comm&Mgmt,53.7,Mkt&HR,55.01,250000.0,False,True
116,63.0,Science,66.0,Comm&Mgmt,89.0,Mkt&Fin,60.5,216000.0,True,False
117,72.8,Commerce,66.6,Comm&Mgmt,96.0,Mkt&Fin,70.85,300000.0,False,True
118,75.0,Science,73.0,Sci&Tech,80.0,Mkt&Fin,67.05,240000.0,False,True
119,80.0,Science,78.0,Sci&Tech,97.0,Mkt&HR,70.48,276000.0,False,True
120,68.4,Commerce,64.6,Comm&Mgmt,,Mkt&Fin,64.34,940000.0,False,True
121,40.0,Science,59.0,Comm&Mgmt,73.0,Mkt&HR,58.81,,False,True
122,67.0,Science,69.6,Sci&Tech,55.67,Mkt&HR,71.49,250000.0,True,False
123,66.8,Arts,69.3,Comm&Mgmt,80.4,Mkt&Fin,71.0,236000.0,True,False
124,59.0,Commerce,73.0,Comm&Mgmt,60.0,Mkt&HR,56.7,240000.0,False,True
125,71.0,Science,64.33,Others,64.0,Mkt&HR,61.26,250000.0,False,True
126,73.0,Commerce,73.0,Comm&Mgmt,75.0,Mkt&Fin,73.33,350000.0,True,False
127,61.0,Science,75.5,Sci&Tech,70.0,Mkt&Fin,68.2,210000.0,True,False
128,60.0,Science,69.0,Comm&Mgmt,55.5,Mkt&HR,58.4,250000.0,True,False
129,73.4,Science,77.72,Sci&Tech,81.2,Mkt&HR,76.26,400000.0,False,True
130,89.7,Commerce,66.0,Comm&Mgmt,90.0,Mkt&Fin,68.55,250000.0,False,True
131,65.0,Commerce,60.0,Comm&Mgmt,84.0,Mkt&Fin,64.15,,False,True
132,57.0,Science,62.0,Others,80.0,Mkt&Fin,60.78,360000.0,True,False
133,68.0,Commerce,64.0,Comm&Mgmt,74.4,Mkt&HR,53.49,300000.0,False,True
134,64.0,Commerce,77.0,Comm&Mgmt,65.0,Mkt&HR,60.98,250000.0,False,True
135,92.0,Commerce,72.0,Comm&Mgmt,94.0,Mkt&Fin,67.13,250000.0,True,False
136,56.0,Science,69.0,Comm&Mgmt,55.6,Mkt&HR,65.63,200000.0,True,False
137,59.0,Arts,64.0,Comm&Mgmt,78.0,Mkt&Fin,61.58,,True,False
138,63.0,Commerce,72.0,Comm&Mgmt,56.0,Mkt&HR,60.41,225000.0,False,True
139,64.0,Science,73.0,Sci&Tech,96.0,Mkt&Fin,71.77,250000.0,True,False
140,70.0,Commerce,59.0,Comm&Mgmt,58.0,Mkt&Fin,54.43,220000.0,False,True
141,64.8,Commerce,69.5,Comm&Mgmt,56.0,Mkt&Fin,56.94,265000.0,False,True
142,64.0,Science,60.0,Comm&Mgmt,60.0,Mkt&HR,61.9,,False,True
143,60.0,Science,73.43,Sci&Tech,60.0,Mkt&Fin,61.29,260000.0,False,True
144,64.89,Commerce,70.67,Comm&Mgmt,89.0,Mkt&Fin,60.39,300000.0,False,True
145,50.0,Arts,61.0,Comm&Mgmt,60.0,Mkt&Fin,58.52,,False,True
146,65.66,Science,71.25,Sci&Tech,72.0,Mkt&HR,63.23,400000.0,False,True
147,63.0,Science,66.0,Comm&Mgmt,85.0,Mkt&HR,55.14,233000.0,False,True
148,74.0,Commerce,65.0,Comm&Mgmt,83.0,Mkt&Fin,62.28,300000.0,False,True
149,86.0,Arts,56.0,Others,57.0,Mkt&Fin,64.08,240000.0,True,False
